experiment_name	experiment_uuid	parent_experiment	restart	parent_experiment_id	branch_time_in_parent	branch_time_in_child	experiment_repo	run_id	Notes
1pctCO2-01	7be18101-ad62-45db-9be7-e3703753b103	e523e199-80f6-4ca6-b84a-e513a16f2029	/g/data/vk83/prerelease/configurations/inputs/access-esm1p6/modern/1pctCO2/restart/2026.04.14	piControl	0201-01-01	0201-01-01	https://github.com/ACCESS-NRI/access-esm1.6-experiments	 83df49aff9bbf9148743a9be9d4ab70b97846e9c	
1pctCO2-bgc-01	f4cc0eee-412a-4f83-8495-819f4dd8dc5d	e523e199-80f6-4ca6-b84a-e513a16f2029	/g/data/vk83/prerelease/configurations/inputs/access-esm1p6/modern/1pctCO2/restart/2026.04.14	piControl	0201-01-01	0201-01-01	https://github.com/ACCESS-NRI/access-esm1.6-experiments		
1pctCO2-rad-01	104718fd-8ebe-456a-8035-344d1c183d90	e523e199-80f6-4ca6-b84a-e513a16f2029	/g/data/vk83/prerelease/configurations/inputs/access-esm1p6/modern/1pctCO2/restart/2026.04.14	picontrol	0201-01-01	0201-01-01	https://github.com/ACCESS-NRI/access-esm1.6-experiments		
abrupt-4xCO2	bc4ae139-0c1d-4c05-aa75-7be4eb2e660f	e523e199-80f6-4ca6-b84a-e513a16f2029	/g/data/vk83/prerelease/configurations/inputs/access-esm1p6/modern/1pctCO2/restart/2026.04.14	piControl	0201-01-01	0201-01-01	https://github.com/ACCESS-NRI/access-esm1.6-experiments		
esm-flat10	4d052f54-ddc0-4cb6-9fbb-c89054462d72	cfcbc3a9-6f5a-4fa5-b963-24bd050e546b	/g/data/vk83/prerelease/configurations/inputs/access-esm1p6/modern/flat10/restart/2026.04.28	esm-piControl	0201-01-01	0201-01-01	https://github.com/ACCESS-NRI/access-esm1.6-experiments		
esm-flat10-cdr	05321bca-4ea1-46a4-b90d-55fce33d340a	4d052f54-ddc0-4cb6-9fbb-c89054462d72	/g/data/vk83/configurations/inputs/access-esm1p6/modern/flat10-zec/restart/2026.05.27	esm-flat10	0301-01-01	0301-01-01	https://github.com/ACCESS-NRI/access-esm1.6-experiments		
esm-flat10-zec	9f4782ca-6eed-48ea-8a55-4ba63d07151d	4d052f54-ddc0-4cb6-9fbb-c89054462d72	/g/data/vk83/configurations/inputs/access-esm1p6/modern/flat10-zec/restart/2026.05.27	esm-flat10	0301-01-01	0301-01-01	https://github.com/ACCESS-NRI/access-esm1.6-experiments		
esm-historical-01	38c867bd-e40c-48b0-ad44-e9ee42a57086	cfcbc3a9-6f5a-4fa5-b963-24bd050e546b	/g/data/p66/rml599/historical/restarts/restart199	esm-piControl	0201-01-01	1850-01-01	https://github.com/ACCESS-NRI/access-esm1.6-experiments		This was rerun/superseded by in esm-historical-esm-historical-1.1-r1i1p1f1-135fafe6.
esm-historical-esm-historical-1.1-r10i1p1f1-c0589abb	c0589abb-3327-496e-84f2-d42003dc7a01	cfcbc3a9-6f5a-4fa5-b963-24bd050e546b	/scratch/p66/jxs599/access-esm/archive/esm-historical-esm-historical-1.1-r10i1p1f1-c0589abb/initial_restart	esm-piControl	0381-01-01	1850-01-01	https://github.com/ACCESS-NRI/access-esm1.6-experiments		
esm-historical-esm-historical-1.1-r11i1p1f1-de7b1f04	de7b1f04-256e-45b8-886c-0cc9d4ed21b1	cfcbc3a9-6f5a-4fa5-b963-24bd050e546b	/scratch/p66/jxs599/access-esm/archive/esm-historical-esm-historical-1.1-r11i1p1f1-de7b1f04/initial_restart	esm-piControl	0401-01-01	1850-01-01	https://github.com/ACCESS-NRI/access-esm1.6-experiments		
esm-historical-esm-historical-1.1-r12i1p1f1-090a952e	090a952e-906c-4d47-a208-b6a41e13fdb3	cfcbc3a9-6f5a-4fa5-b963-24bd050e546b	/scratch/p66/jxs599/access-esm/archive/esm-historical-esm-historical-1.1-r12i1p1f1-090a952e/initial_restart	esm-piControl	0421-01-01	1850-01-01	https://github.com/ACCESS-NRI/access-esm1.6-experiments		
esm-historical-esm-historical-1.1-r13i1p1f1-9a7e54df	9a7e54df-7b36-40db-b7ad-88c9e505f879	cfcbc3a9-6f5a-4fa5-b963-24bd050e546b	/scratch/p66/jxs599/access-esm/archive/esm-historical-esm-historical-1.1-r13i1p1f1-9a7e54df/initial_restart	esm-piControl	0441-01-01	1850-01-01	https://github.com/ACCESS-NRI/access-esm1.6-experiments		
esm-historical-esm-historical-1.1-r14i1p1f1-d7b1858e	d7b1858e-6a12-469c-a4f3-671a9e051b2c	cfcbc3a9-6f5a-4fa5-b963-24bd050e546b	/scratch/p66/jxs599/access-esm/archive/esm-historical-esm-historical-1.1-r14i1p1f1-d7b1858e/initial_restart	esm-piControl	0461-01-01	1850-01-01	https://github.com/ACCESS-NRI/access-esm1.6-experiments		
esm-historical-esm-historical-1.1-r15i1p1f1-1a8b670c	1a8b670c-5663-419e-a94d-17e8b73c2456	cfcbc3a9-6f5a-4fa5-b963-24bd050e546b	/scratch/p66/jxs599/access-esm/archive/esm-historical-esm-historical-1.1-r15i1p1f1-1a8b670c/initial_restart	esm-piControl	0481-01-01	1850-01-01	https://github.com/ACCESS-NRI/access-esm1.6-experiments		
esm-historical-esm-historical-1.1-r16i1p1f1-919909fe	919909fe-e49d-4f52-b17e-60f3698f8041	cfcbc3a9-6f5a-4fa5-b963-24bd050e546b	/scratch/p66/jxs599/access-esm/archive/esm-historical-esm-historical-1.1-r16i1p1f1-919909fe/initial_restart	esm-piControl	0501-01-01	1850-01-01	https://github.com/ACCESS-NRI/access-esm1.6-experiments		
esm-historical-esm-historical-1.1-r17i1p1f1-7716bd9f	7716bd9f-cc9a-46ef-a97e-0f4e672795cb	cfcbc3a9-6f5a-4fa5-b963-24bd050e546b	/scratch/p66/jxs599/access-esm/archive/esm-historical-esm-historical-1.1-r17i1p1f1-7716bd9f/initial_restart	esm-piControl	0521-01-01	1850-01-01	https://github.com/ACCESS-NRI/access-esm1.6-experiments		
esm-historical-esm-historical-1.1-r18i1p1f1-aa6ff4be	aa6ff4be-1adc-42fc-a0ea-8c11fc672456	cfcbc3a9-6f5a-4fa5-b963-24bd050e546b	/scratch/p66/jxs599/access-esm/archive/esm-historical-esm-historical-1.1-r18i1p1f1-aa6ff4be/initial_restart	esm-piControl	0541-01-01	1850-01-01	https://github.com/ACCESS-NRI/access-esm1.6-experiments		
esm-historical-esm-historical-1.1-r19i1p1f1-e1cc46ce	e1cc46ce-979a-477c-8475-f37484983dcb	cfcbc3a9-6f5a-4fa5-b963-24bd050e546b	/scratch/p66/jxs599/access-esm/archive/esm-historical-esm-historical-1.1-r19i1p1f1-e1cc46ce/initial_restart	esm-piControl	0561-01-01	1850-01-01	https://github.com/ACCESS-NRI/access-esm1.6-experiments		
esm-historical-esm-historical-1.1-r1i1p1f1-135fafe6	135fafe6-5457-4300-a3d9-56138a932b99	cfcbc3a9-6f5a-4fa5-b963-24bd050e546b	/scratch/p66/jxs599/access-esm/archive/esm-historical-esm-historical-1.1-r1i1p1f1-135fafe6/initial_restart	esm-piControl	0201-01-01	1850-01-01	https://github.com/ACCESS-NRI/access-esm1.6-experiments	97fd8e0d536ff827d2689f65e417227225bc8a13	
esm-historical-esm-historical-1.1-r20i1p1f1-61805c51	61805c51-205e-4473-a0d4-e567ab12f8f9	cfcbc3a9-6f5a-4fa5-b963-24bd050e546b	/scratch/p66/jxs599/access-esm/archive/esm-historical-esm-historical-1.1-r20i1p1f1-61805c51/initial_restart	esm-piControl	0581-01-01	1850-01-01	https://github.com/ACCESS-NRI/access-esm1.6-experiments		
esm-historical-esm-historical-1.1-r21i1p1f1-e137a8d6	e137a8d6-5ff4-4465-aac0-0470616fd62c	cfcbc3a9-6f5a-4fa5-b963-24bd050e546b	/scratch/p66/jxs599/access-esm/archive/esm-historical-esm-historical-1.1-r21i1p1f1-e137a8d6/initial_restart	esm-piControl	0601-01-01	1850-01-01	https://github.com/ACCESS-NRI/access-esm1.6-experiments		
esm-historical-esm-historical-1.1-r22i1p1f1-e71ea255	e71ea255-9dae-4e0b-ab3a-b38f159c62f3	cfcbc3a9-6f5a-4fa5-b963-24bd050e546b	/scratch/p66/jxs599/access-esm/archive/esm-historical-esm-historical-1.1-r22i1p1f1-e71ea255/initial_restart	esm-piControl	0621-01-01	1850-01-01	https://github.com/ACCESS-NRI/access-esm1.6-experiments		
esm-historical-esm-historical-1.1-r23i1p1f1-61420273	61420273-1804-43b8-a636-ac351ca1b0d2	cfcbc3a9-6f5a-4fa5-b963-24bd050e546b	/scratch/p66/jxs599/access-esm/archive/esm-historical-esm-historical-1.1-r23i1p1f1-61420273/initial_restart	esm-piControl	0641-01-01	1850-01-01	https://github.com/ACCESS-NRI/access-esm1.6-experiments		
esm-historical-esm-historical-1.1-r24i1p1f1-fd4c9cba	fd4c9cba-92d3-4ff2-8ba7-9ba989b6537d	cfcbc3a9-6f5a-4fa5-b963-24bd050e546b	/scratch/p66/jxs599/access-esm/archive/esm-historical-esm-historical-1.1-r24i1p1f1-fd4c9cba/initial_restart	esm-piControl	0661-01-01	1850-01-01	https://github.com/ACCESS-NRI/access-esm1.6-experiments		
